objectid,eser_adi,muellif_adi,cild_adedi,sayfa_no,ilave_notlar,kaynak
haltercemesi_0044,Tahassür,Zühdî Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0045,İmam-ı A'zam ve Eimme-i Selâse,İbrahim Rıf'at Efendi,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0046,Zübde-i Vekayi'i Nübüvvet ve Fezâil-i Ahyâr-ı Ümmet,Mustafa Rıza Efendi,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0047,Franklin,Fahrî Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0048,Jan Fransuva Dö La Proz,Hasan Celâleddin Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0049,Esmâr-ı Esrâr,Mehmed Sâmi Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0050,Meşâhir-i Ashab-ı Güzîn ve Terâcüm-i Ahvâl-i Fukahâ,İbrahim Rıf'at Efendi,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0051,Risale-i Mi'mariye Terceme-i Hâl-i Mimar Mehmed Ağa Der Zaman-ı Sultan Ahmed Hân-ı Evvel,Ca'fer Efendi,,183,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0052,İbn-i Haldun,Cemil Zeki Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0053,Meşhur Osmanlı Kumandanları,Ahmed Refik Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0054,Bedi'uz-Zaman Hemedânî,Zeki Me'ğâmiz Efendi,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0055,İ'lâmü Tebsıretü'l-Enâm — Arabî Tabakatü'r-Ricâl,Kadı-zâde Tilmizi İbrahim Efendi,,183,Yazma. 1118 (1706) Ve'l-Ensâb-ı ve'l-eshâbı ve'n-Nisâî.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0056,Hikâyât-ı İbn-i Sînâ,Derviş Hasan Medhî,,183,Yazma. Üçüncü Sultan Murad asrında.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
